codigo,nombre,descripcion,unidad,categoria,imagen,ubicacion_bio,cantidad_bio,ubicacion_agr,cantidad_agr,mrp
300000000081,CHUMACERAS 14'' EJE MIXTO 2 1/8'',CHUMACERAS 14'' EJE MIXTO 2 1/8'',UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000081.png, , ,C104P01*,4,
300000000082,CHUMACERAS 9'' EJE MIXTO 1 1/4'',CHUMACERAS 9'' EJE MIXTO 1 1/4'',UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000082.png, , ,C105E03*,9,
300000000083,CILINDRO  DESCOGOLLADOR AH154468 JD,CILINDRO  DESCOGOLLADOR AH154468 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000083.png, , , ,0,
300000000084,CILINDRO DE GAS AZ102727 JD,CILINDRO DE GAS AZ102727 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000084.png, , , ,0,
300000000085,CILINDRO ELEVADOR CB11472724  JD,CILINDRO ELEVADOR CB11472724  JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000085.png, , , ,0,
300000000086,CILINDRO HIDRAULICO CB11472966 JD,CILINDRO HIDRAULICO CB11472966 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000086.png, , , ,0,
300000000087,CILINDRO HIDRÁULICO 4 '' ELEVA ANGARITA,CILINDRO HIDRÁULICO 4 '' ELEVA ANGARITA,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000087.png, , , ,0,
300000000088,CILINDRO HIDRÁULICO 4 '' VOLTEO ANGARITA,CILINDRO HIDRÁULICO 4 '' VOLTEO ANGARITA,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000088.png, , , ,0,
300000000089,CILINDRO LEVANTE CABINA AH216340 JD,CILINDRO LEVANTE CABINA AH216340 JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000089.png, , , ,0,
300000000090,CILINDRO P/GIRO AH 148694  JD,CILINDRO P/GIRO AH 148694  JD,UN,G-15 / Repuestos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000090.png, , , ,0,
300000000091,CODO GATO SINFÍN  AT35123 JD SP2254,CODO GATO SINFÍN  AT35123 JD SP2254,UN,G-8 / Tuberia Y Accesorios ,https://ik.imagekit.io/7ypnvn8as/materiales/300000000091.png, , , ,0,
300000000092,COJINETE 168-0480 CAT,COJINETE 168-0480 CAT,UN,G-10 / Rodamientos,https://ik.imagekit.io/7ypnvn8as/materiales/300000000092.png, , , ,0,
